origins,destinations,mask_0,mask_1,mask_2,mask_3
-10427692#1,-128361102#1,0,0,0,1
-10427692#6,-128361102#1,0,1,1,1
-129379925,-315358244,1,1,1,1
-136728347#4,-128361102#1,1,1,1,1
-136728347#4,201238726#0,1,1,1,1
-136728347#4,201956811#0,1,1,1,1
-136728347#4,272042145,1,1,1,1
-136728347#4,306240162#0,1,1,1,1
-137132992#2,201956820,1,1,1,1
-137454133#5,201238729#3,0,1,1,1
-160314345#2,386687235,1,1,1,1
-160314345#5,-128361102#1,1,1,1,1
-160314345#5,-24634505,1,1,1,1
-160314345#5,-315358244,1,1,1,1
-160314345#5,-315358254#1,1,1,1,1
-160314345#5,306240162#0,1,1,1,1
-160314345#5,31860333#1,1,1,1,1
-160314346#0,-266565295#5,1,1,1,1
-164078530,201956811#0,1,1,1,1
-170018165#3,306240162#0,0,1,1,0
-173169611#0,-201238724,1,1,1,1
-173169611#0,-24634411,1,1,1,1
-173169611#0,-266565295#5,1,1,1,1
-173169611#0,-83304175#2,0,1,1,0
-173169611#0,104010475#0,0,1,1,0
-173169611#0,201956811#0,0,0,0,1
-173169611#0,201956820,0,0,0,1
-173169611#0,32978638#0,1,1,1,1
-173169611#0,386687235,1,1,1,1
-18809672#6,386687235,1,1,1,1
-18809673#6,-24634413#0,1,1,1,1
-18809673#6,-266565295#5,1,1,1,1
-18809673#6,-315358254#1,0,1,1,1
-18809673#6,-83304175#2,1,1,1,1
-18809673#6,201950247#0,1,1,1,1
-18809673#6,201956811#0,1,1,1,1
-18809673#6,201956820,1,1,1,1
-18809673#6,272042145,1,1,1,0
-18809673#6,30482615#1,0,0,0,1
-18809673#6,386687235,1,1,1,1
-18809673#6,40888354#1,1,1,1,1
-201089423#1,32978638#0,1,1,1,1
-201201945#0,-266565295#5,1,1,1,1
-201201945#6,386687235,1,1,1,1
-201238718#0,306240162#0,1,1,1,1
-201238718#1,-266565295#5,1,1,1,1
-201238724,201956820,1,1,1,1
-201950247#0,201238729#3,1,1,1,1
-201950247#0,32978638#0,1,1,1,1
-201950247#0,386687235,1,1,1,1
-201950259#6,386687235,1,1,1,1
-201950263#10,306240162#0,1,1,1,1
-201950263#6,-266565295#5,1,1,1,1
-201950263#6,272042145,1,1,1,1
-224892339#3,272042145,1,1,1,1
-224892361#8,306240162#0,0,1,1,0
-224892361#8,399835085#1,1,1,1,0
-22690206#1,-128361102#1,1,1,1,1
-22716073,201956820,1,1,1,1
-22716073,306240162#0,1,1,1,1
-22716549#6,-266565295#5,1,1,1,1
-22716549#6,-315358254#1,1,1,1,1
-22724699#11,201956820,1,1,1,1
-22724699#11,386687235,1,1,1,1
-233675413#0,306240162#0,1,1,1,1
-24608846#0,-315358244,1,1,1,1
-24634411,-315358254#1,1,1,1,1
-24634411,201238729#3,1,1,1,1
-24634411,447569997#1,1,1,1,1
-24634413#0,306240162#0,1,1,1,1
-24634413#2,32978638#0,1,1,1,1
-24634414#1,306240162#0,1,1,1,1
-24634417,386687235,1,1,1,1
-24634505,272042145,1,1,1,1
-24634506#0,386687235,1,1,1,1
-24634507,18809673#0,1,1,1,1
-24634509#7,-266565295#5,1,1,1,1
-24634509#7,201238729#3,1,1,1,1
-24634509#7,32978638#0,1,1,1,1
-24634510#0,201956820,1,1,1,1
-24634510#15,201238729#3,0,0,1,1
-24634510#15,201956820,1,1,1,1
-24634510#5,201238729#3,1,1,1,1
-24634510#5,201956820,1,1,1,1
-24634510#5,272042145,1,1,1,1
-24634510#6,32978638#0,1,1,1,1
-24634513#5,-23436553#2,1,0,1,0
-24634514#1,-83304175#2,1,1,1,1
-24634517#16,-128361102#1,1,1,1,1
-24634517#3,306240162#0,1,1,1,1
-25117391#1,-266565295#5,1,1,1,1
-25117391#1,201950250#1,1,0,1,1
-25117391#2,32978638#0,1,1,1,1
-25117417#1,-315358244,1,1,1,0
-25145012#5,201956820,1,1,1,1
-25145014#4,-128361102#1,1,1,1,1
-25187895#0,-266565295#5,1,1,1,1
-26642362#1,201956820,1,1,1,1
-26642363,201956811#0,1,1,1,1
-26677213#5,-315358254#1,1,1,1,1
-26677213#5,272042145,1,1,1,1
-26677216#0,201956820,1,1,1,1
-26677216#0,386687235,1,1,1,1
-26677416#7,-315358254#1,1,1,1,1
-26677539,32978638#0,1,1,1,1
-26677542#0,386687235,1,1,1,1
-26677542#0,447569997#1,1,0,1,1
-28111977#6,201956820,1,1,1,1
-28319300#2,306240162#0,1,1,1,1
-286646456#2,-315358254#1,0,1,1,0
-30482615#4,-128361102#1,1,1,1,1
-30482615#4,-22716072#5,1,1,1,1
-30482615#4,-393420106#1,1,1,1,1
-30482615#4,18809673#0,0,0,0,1
-306240162#1,-170018165#0,0,1,1,1
-306240162#1,-201963533#4,1,1,1,1
-306240162#1,-22724699#1,1,1,1,1
-306240162#1,-24634518#0,1,1,1,1
-306240162#1,-25190140#1,1,1,1,1
-306240162#1,-266565295#5,1,1,1,1
-306240162#1,-315358254#1,1,1,1,1
-306240162#1,137454133#2,0,1,1,0
-306240162#1,138300620#0,0,1,1,0
-306240162#1,176550249#3,0,1,1,1
-306240162#1,176550249#4,0,1,1,1
-306240162#1,201238718#0,1,1,1,1
-306240162#1,201956811#0,1,1,1,1
-306240162#1,201956820,1,0,1,1
-306240162#1,24634507,1,1,1,1
-306240162#1,24634510#6,1,1,1,1
-306240162#1,24634511,1,1,1,1
-306240162#1,24634513#0,1,1,1,1
-306240162#1,272042145,1,1,1,1
-306240162#1,28111977#0,0,1,1,1
-306240162#1,30482615#1,1,1,1,1
-306240162#1,306240162#0,0,0,0,1
-306240162#1,32978638#0,1,1,1,1
-306240162#1,386687235,1,1,1,1
-306240162#1,399835085#1,1,1,0,1
-306240162#1,402600768#1,1,1,1,1
-306240162#1,40888359,0,1,1,1
-306240162#1,447569997#1,1,1,1,1
-306240162#1,4942376,1,1,1,1
-315358242#0,-315358244,1,1,1,1
-315358242#0,447569997#1,0,0,0,1
-315358250#0,386687235,1,1,1,1
-315358255#4,-315358254#1,0,0,0,1
-315358257#0.26,306240162#0,0,1,1,1
-315392062#4,-266565295#5,1,1,1,1
-315392062#4,32978638#0,1,1,1,1
-32124743,-266565295#5,0,1,1,1
-32978638#0,-160314346#0,1,1,1,1
-32978638#0,-201201945#0.78,1,1,1,1
-32978638#0,-266565295#5,0,0,0,1
-32978638#0,-315358242#1,1,1,1,1
-32978638#0,-315358244,1,1,1,1
-32978638#0,-315358246,1,1,1,1
-32978638#0,-315358252#1,1,1,1,1
-32978638#0,-315358254#1,1,1,1,1
-32978638#0,-315392062#4,1,1,1,1
-32978638#0,176550249#4,1,1,1,1
-32978638#0,18809673#0,1,1,1,1
-32978638#0,201201953#12,1,1,1,1
-32978638#0,201238729#3,1,1,1,1
-32978638#0,24634413#1,1,1,1,1
-32978638#0,24634414#2,1,1,1,1
-32978638#0,24634510#6,1,1,1,1
-32978638#0,26677214#3,1,1,1,1
-32978638#0,28319300#3,1,1,1,1
-32978638#0,306240162#0,1,1,1,1
-32978638#0,386687235,1,1,1,1
-32978638#0,399835085#1,1,1,1,1
-32978638#0,447569997#1,1,1,1,1
-37386279,201956820,1,1,1,1
-399835085#0,201238729#3,0,1,1,1
-40888351#2,32978638#0,1,1,1,1
-40888356#6,306240162#0,1,1,1,1
-40888356#6,386687235,1,1,1,1
-40888443,-315358244,0,0,0,1
-447569998#1,-201238718#0,1,1,0,1
-447569998#1,-201950247#3,1,0,0,1
-447569998#1,-26677539,1,0,1,1
-447569998#1,-315358244,1,1,0,1
-447569998#1,-315358254#1,1,1,1,1
-447569998#1,-315358258,1,1,1,1
-447569998#1,201956820,1,1,1,1
-447569998#1,315358242#0,0,0,0,1
-447569998#1,32978638#0,1,1,1,1
-447569998#1,399835085#1,1,1,1,1
-447569998#1,40888356#0,1,1,1,1
-53396619#3,-315358244,1,1,1,1
-54169231#0,306240162#0,1,1,1,1
-54169231#2,386687235,0,1,1,1
10425609#0,-128361102#1,1,1,1,1
10425609#0,-201963522#3,1,1,1,1
10425609#0,-201963533#1.145,1,1,1,1
10425609#0,-218647954,1,1,1,1
10425609#0,-24634521#1,1,1,1,1
10425609#0,-315358244,1,1,1,0
10425609#0,-315358254#1,0,1,1,0
10425609#0,-393420106#1,1,1,1,1
10425609#0,18809673#0,1,1,1,1
10425609#0,201956810,0,0,0,1
10425609#0,201956820,0,0,0,1
10425609#0,26642363,1,1,1,1
10425609#0,306240162#0,1,1,1,1
10425609#0,399835085#1,1,1,1,1
10427692#6,201956820,1,1,1,1
10427692#7,-266565295#5,1,1,1,1
124812856#0,-128361102#1,1,1,1,1
124812856#0,-201089420#1,1,1,1,1
124812856#0,-24634414#3,1,1,1,1
124812856#0,-24693977#0,1,1,1,1
124812856#0,-28111977#6,1,1,0,1
124812856#0,-315358244,1,1,1,1
124812856#0,-315358251#0,1,1,1,1
124812856#0,-315358254#1,1,1,1,1
124812856#0,-315358258,1,1,1,1
124812856#0,-83304175#2,0,1,1,0
124812856#0,176550249#3,1,1,1,1
124812856#0,176550249#4,1,1,0,1
124812856#0,18809673#0,1,1,1,1
