departure_group,eta_changed_fraction,action_changed_fraction,mean_absolute_q_change,seed
all,0.5438647342995169,0.06707729468599034,0.042901102,40
early,0.24768115942028984,0.03833333333333333,0.010273647,40
late,0.7101449275362319,0.06630434782608696,0.061465144,40
middle,0.673768115942029,0.09659420289855072,0.056964524,40
all,0.5291787439613527,0.06985507246376813,0.044164557,41
early,0.17608695652173914,0.002391304347826087,0.0091982065,41
late,0.7302898550724638,0.08934782608695652,0.06658371,41
middle,0.6811594202898551,0.11782608695652175,0.056711752,41
all,0.5239371980676327,0.061062801932367156,0.04311793,42
early,0.2604347826086956,0.03666666666666667,0.014099515,42
late,0.6948550724637681,0.07072463768115941,0.06276602,42
middle,0.6165217391304347,0.07579710144927537,0.05248825,42
